episode,reward,steps,epsilon,success
369,5.0,6,0.1572956799768517,1
370,5.0,6,0.15650920157696743,1
371,5.0,6,0.1557266555690826,1
372,5.0,6,0.1549480222912372,1
373,5.0,6,0.15417328217978102,1
374,5.0,6,0.1534024157688821,1
375,5.0,6,0.1526354036900377,1
376,4.0,7,0.1518722266715875,1
377,1.0,10,0.15111286553822956,1
378,2.0,9,0.15035730121053842,1
379,5.0,6,0.14960551470448571,1
380,5.0,6,0.14885748713096328,1
381,5.0,6,0.14811319969530845,1
382,5.0,6,0.1473726336968319,1
383,5.0,6,0.14663577052834775,1
384,5.0,6,0.14590259167570602,1
385,5.0,6,0.1451730787173275,1
386,2.0,9,0.14444721332374086,1
387,2.0,9,0.14372497725712216,1
388,-10.0,12,0.14300635237083656,1
389,5.0,6,0.14229132060898236,1
390,5.0,6,0.14157986400593744,1
391,2.0,9,0.14087196468590776,1
392,5.0,6,0.14016760486247823,1
393,3.0,8,0.13946676683816583,1
394,5.0,6,0.138769433003975,1
395,-5.0,7,0.13807558583895513,1
396,5.0,6,0.13738520790976036,1
397,5.0,6,0.13669828187021155,1
398,5.0,6,0.13601479046086049,1
399,-1.0,12,0.1353347165085562,1
400,5.0,6,0.1346580429260134,1
401,5.0,6,0.13398475271138335,1
402,4.0,7,0.13331482894782642,1
403,5.0,6,0.13264825480308728,1
404,5.0,6,0.13198501352907185,1
405,5.0,6,0.1313250884614265,1
406,5.0,6,0.13066846301911936,1
407,4.0,7,0.13001512070402377,1
408,5.0,6,0.12936504510050365,1
409,5.0,6,0.12871821987500112,1
410,2.0,9,0.12807462877562611,1
411,-3.0,14,0.12743425563174798,1
412,5.0,6,0.12679708435358925,1
413,5.0,6,0.1261630989318213,1
414,4.0,7,0.1255322834371622,1
415,5.0,6,0.12490462201997637,1
416,5.0,6,0.1242800989098765,1
417,5.0,6,0.12365869841532712,1
418,-5.0,7,0.12304040492325048,1
419,3.0,8,0.12242520289863423,1
420,-6.0,8,0.12181307688414106,1
421,4.0,7,0.12120401149972035,1
422,5.0,6,0.12059799144222175,1
423,5.0,6,0.11999500148501063,1
424,3.0,8,0.11939502647758558,1
425,5.0,6,0.11879805134519765,1
426,5.0,6,0.11820406108847166,1
427,5.0,6,0.1176130407830293,1
428,5.0,6,0.11702497557911415,1
429,4.0,7,0.11643985070121858,1
430,3.0,8,0.11585765144771248,1
431,5.0,6,0.11527836319047392,1
432,5.0,6,0.11470197137452155,1
433,3.0,8,0.11412846151764894,1
434,5.0,6,0.1135578192100607,1
435,5.0,6,0.11299003011401039,1
436,5.0,6,0.11242507996344034,1
437,5.0,6,0.11186295456362313,1
438,3.0,8,0.11130363979080501,1
439,5.0,6,0.11074712159185099,1
440,5.0,6,0.11019338598389174,1
441,5.0,6,0.10964241905397228,1
442,-5.0,7,0.10909420695870241,1
443,5.0,6,0.1085487359239089,1
444,5.0,6,0.10800599224428936,1
445,5.0,6,0.10746596228306791,1
446,5.0,6,0.10692863247165257,1
447,5.0,6,0.1063939893092943,1
448,-7.0,9,0.10586201936274783,1
449,5.0,6,0.10533270926593409,1
450,5.0,6,0.10480604571960442,1
451,4.0,7,0.1042820154910064,1
452,5.0,6,0.10376060541355137,1
453,-7.0,9,0.1032418023864836,1
454,5.0,6,0.10272559337455119,1
455,3.0,8,0.10221196540767843,1
456,5.0,6,0.10170090558064004,1
457,3.0,8,0.10119240105273684,1
458,5.0,6,0.10068643904747315,1
459,5.0,6,0.10018300685223579,1
460,-7.0,9,0.0996820918179746,1
461,4.0,7,0.09918368135888474,1
462,5.0,6,0.09868776295209031,1
463,5.0,6,0.09819432413732986,1
464,5.0,6,0.09770335251664321,1
465,5.0,6,0.09721483575406,1
466,5.0,6,0.09672876157528969,1
467,4.0,7,0.09624511776741324,1
468,5.0,6,0.09576389217857617,1
469,5.0,6,0.09528507271768329,1
470,3.0,8,0.09480864735409487,1
471,4.0,7,0.0943346041173244,1
472,5.0,6,0.09386293109673778,1
473,-5.0,7,0.09339361644125409,1
474,5.0,6,0.09292664835904782,1
475,5.0,6,0.09246201511725258,1
476,-2.0,13,0.09199970504166631,1
477,-5.0,7,0.09153970651645797,1
478,3.0,8,0.09108200798387568,1
479,2.0,9,0.0906265979439563,1
480,5.0,6,0.09017346495423652,1
481,5.0,6,0.08972259762946533,1
482,5.0,6,0.089273984641318,1
483,5.0,6,0.0888276147181114,1
484,3.0,8,0.08838347664452084,1
485,5.0,6,0.08794155926129824,1
486,5.0,6,0.08750185146499175,1
487,5.0,6,0.08706434220766679,1
488,5.0,6,0.08662902049662846,1
489,5.0,6,0.08619587539414532,1
490,5.0,6,0.08576489601717459,1
491,5.0,6,0.08533607153708872,1
492,5.0,6,0.08490939117940327,1
493,-5.0,7,0.08448484422350626,1
494,5.0,6,0.08406242000238873,1
495,5.0,6,0.08364210790237678,1
496,4.0,7,0.0832238973628649,1
497,4.0,7,0.08280777787605056,1
498,3.0,8,0.08239373898667031,1
499,4.0,7,0.08198177029173696,1
500,5.0,6,0.08157186144027828,1
